This function calculates N(6, 3, p).

Parameters: #simulations = 10000.
p from 0.05 to 0.15 step 0.005.

p, N(p), SD, #percolation, size.

0.05, 22.6927, 42.4635, 17, 135
0.055, 40.3381, 103.892, 131, 135
0.06, 100.736, 215.683, 778, 135
0.065, 241.432, 319.724, 2701, 135
0.07, 430.303, 310.545, 6068, 135
0.075, 512.551, 180.579, 8994, 135
0.08, 440.683, 89.3375, 9947, 135
0.085, 344.096, 58.4893, 9998, 135
0.09, 273.458, 42.2188, 10000, 135
0.095, 223.591, 33.0855, 10000, 135
0.1, 186.262, 25.7533, 10000, 135
0.105, 158.156, 21.1742, 10000, 135
0.11, 137.178, 17.7226, 10000, 135
0.115, 120.549, 15.2701, 10000, 135
0.12, 106.897, 13.0742, 10000, 135
0.125, 95.9427, 11.7864, 10000, 135
0.13, 86.9245, 10.5493, 10000, 135
0.135, 79.3634, 9.57736, 10000, 135
0.14, 72.946, 8.84735, 10000, 135
0.145, 67.4965, 8.33731, 10000, 135
0.05, 23.1632, 40.0965, 14, 140
0.055, 44.5725, 118.347, 169, 140
0.06, 107.88, 228.491, 830, 140
0.065, 261.231, 334.862, 2881, 140
0.07, 455.913, 315.647, 6301, 140
0.075, 534.271, 173.01, 9204, 140
0.08, 445.315, 89.4777, 9950, 140
0.085, 346.579, 58.6063, 9998, 140
0.09, 273.821, 42.2621, 10000, 140
0.095, 223.964, 32.7051, 10000, 140
0.1, 187.208, 25.9063, 10000, 140
0.105, 158.581, 20.8331, 10000, 140
0.11, 137.459, 17.4691, 10000, 140
0.115, 120.807, 15.0839, 10000, 140
0.12, 107.242, 13.0048, 10000, 140
0.125, 95.9383, 11.5522, 10000, 140
0.13, 87.0984, 10.4713, 10000, 140
0.135, 79.5107, 9.56526, 10000, 140
0.14, 72.9543, 8.71892, 10000, 140
0.145, 67.4729, 8.10614, 10000, 140
0.05, 25.1061, 57.4317, 29, 145
0.055, 45.9418, 122.804, 170, 145
0.06, 117.078, 244.638, 898, 145
0.065, 279.196, 349.617, 3027, 145
0.07, 493.71, 316.436, 6713, 145
0.075, 548.4, 165.67, 9358, 145
0.08, 448.589, 89.3034, 9960, 145
0.085, 346.63, 57.9628, 9998, 145
0.09, 274.507, 42.2322, 10000, 145
0.095, 223.981, 32.338, 10000, 145
0.1, 187.108, 25.185, 10000, 145
0.105, 159.226, 20.576, 10000, 145
0.11, 137.67, 17.174, 10000, 145
0.115, 121.005, 14.9259, 10000, 145
0.12, 107.302, 12.9923, 10000, 145
0.125, 96.4084, 11.7214, 10000, 145
0.13, 87.3643, 10.6436, 10000, 145
0.135, 79.8625, 9.73324, 10000, 145
0.14, 73.133, 8.88238, 10000, 145
0.145, 67.5932, 8.11349, 10000, 145
0.05, 24.2262, 42.4322, 15, 150
0.055, 48.2598, 129.99, 179, 150
0.06, 125.019, 257.547, 954, 150
0.065, 303.152, 366.335, 3227, 150
0.07, 520.839, 317.753, 6959, 150
0.075, 558.449, 161.1, 9443, 150
0.08, 452.105, 86.0512, 9981, 150
0.085, 349.008, 58.7161, 10000, 150
0.09, 275.753, 42.0718, 10000, 150
