This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.

0.05, 0.039, 0.318558, 5
0.06, 0.083, 0.521643, 5
0.07, 0.113, 0.601856, 5
0.08, 0.204, 0.836889, 5
0.09, 0.241, 0.873452, 5
0.1, 0.386, 1.15542, 5
0.11, 0.433, 1.21799, 5
0.12, 0.56, 1.41577, 5
0.13, 0.679, 1.46968, 5
0.14, 0.777, 1.66831, 5
0.15, 0.918, 1.81639, 5
0.16, 1.195, 2.03494, 5
0.17, 1.424, 2.15087, 5
0.18, 1.553, 2.15944, 5
0.19, 1.618, 2.28168, 5
0.2, 1.868, 2.3449, 5
0.21, 1.91, 2.29345, 5
0.22, 2.279, 2.51459, 5
0.23, 2.46, 2.47354, 5
0.24, 2.508, 2.45681, 5
0.25, 2.747, 2.59711, 5
0.26, 2.839, 2.45623, 5
0.27, 3.055, 2.4783, 5
0.28, 3.038, 2.43897, 5
0.29, 3.13, 2.42881, 5
0.3, 3.327, 2.30045, 5
0.31, 3.351, 2.22751, 5
0.32, 3.51, 2.20497, 5
0.33, 3.618, 2.10287, 5
0.34, 3.676, 2.11353, 5
0.05, 0.852, 1.81496, 15
0.06, 1.478, 2.94576, 15
0.07, 2.37, 3.90706, 15
0.05, 3.731, 3.92742, 35
0.08, 3.609, 5.2305, 15
0.09, 4.985, 6.58246, 15
0.1, 7.422, 8.7884, 15
0.11, 8.482, 9.1671, 15
0.06, 5.903, 6.20384, 35
0.12, 11.042, 10.5334, 15
0.13, 13.597, 10.9356, 15
0.14, 15.63, 11.5543, 15
0.15, 17.45, 11.0843, 15
0.07, 9.943, 13.5664, 35
0.16, 19.503, 10.5103, 15
0.17, 20.552, 9.64102, 15
0.05, 7.381, 4.69615, 65
0.18, 21.498, 8.89528, 15
0.19, 21.303, 7.95017, 15
0.2, 20.784, 6.79848, 15
0.08, 17.651, 24.3327, 35
0.21, 20.056, 6.52724, 15
0.22, 19.204, 5.9019, 15
0.23, 18.432, 5.5161, 15
0.24, 17.411, 4.98599, 15
0.25, 16.452, 4.76295, 15
0.26, 15.722, 4.56998, 15
0.27, 14.829, 4.29369, 15
0.28, 14.037, 4.11651, 15
0.05, 9.386, 6.07561, 85
0.29, 13.353, 3.86683, 15
0.09, 31.606, 35.7271, 35
0.3, 12.581, 3.41781, 15
0.31, 11.938, 3.2336, 15
0.32, 11.436, 3.13591, 15
0.33, 10.878, 2.94128, 15
0.34, 10.289, 2.66786, 15
0.05, 2.048, 2.8684, 25
0.06, 12.807, 15.7125, 65
0.06, 3.648, 5.03806, 25
0.07, 5.582, 6.93738, 25
0.08, 9.608, 12.4272, 25
0.1, 46.254, 40.1389, 35
