This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0.054 to 0.1 step 0.001.

p, N(p), SD, size.

0.054, 744.596, 1419.13, 1000
0.055, 1100.31, 1627.95, 1000
0.056, 1419.48, 1740.48, 1000
0.057, 1702.36, 1721.52, 1000
0.058, 2026.67, 1645.88, 1000
0.059, 2253.4, 1467.91, 1000
0.06, 2394.02, 1232.34, 1000
0.061, 2508.66, 975.108, 1000
0.062, 2441.5, 769.322, 1000
0.063, 2237.93, 623.884, 1000
0.064, 2063.47, 501.024, 1000
0.065, 1881.94, 434.168, 1000
0.066, 1676.82, 366.35, 1000
0.067, 1496.9, 307.757, 1000
0.068, 1379.26, 274.217, 1000
0.069, 1250.24, 238.989, 1000
0.07, 1137.24, 207.892, 1000
0.071, 1040.24, 179.794, 1000
0.072, 965.491, 170.312, 1000
0.073, 891.546, 149.278, 1000
0.074, 814.69, 132.522, 1000
0.075, 761.611, 119.332, 1000
0.076, 712.076, 113.431, 1000
0.077, 652.399, 95.6874, 1000
0.078, 613.337, 89.2647, 1000
0.079, 574.668, 86.3865, 1000
0.08, 539.673, 74.8489, 1000
0.081, 506.168, 70.9191, 1000
0.082, 477.258, 65.4393, 1000
0.083, 451.986, 61.1276, 1000
0.084, 425.209, 55.6516, 1000
0.085, 401.446, 53.348, 1000
0.086, 382.342, 49.4001, 1000
0.087, 361.862, 44.0221, 1000
0.088, 344.64, 40.5918, 1000
0.089, 328.889, 38.5645, 1000
0.09, 313.59, 37.4279, 1000
0.091, 297.296, 32.5261, 1000
0.092, 289.172, 35.3699, 1000
0.093, 273.726, 30.2474, 1000
0.094, 261.962, 29.3581, 1000
0.095, 252.203, 29.4483, 1000
0.096, 243.747, 27.6907, 1000
0.097, 233.704, 26.1143, 1000
0.098, 224.659, 24.4637, 1000
0.099, 218.439, 24.0622, 1000

Processor time: 125893.

Wall time: 125924s.
