This function calculates N(6, 3, p).

Parameters:
rows = 200, columns = 200, #simulations = 10000.
p from 0.000000 to 1.000000 step 0.010000.

p, N(6, 3, p), SD.
0.000000, 0.000000, 0.000000
0.010000, 1.074500, 1.230670
0.020000, 3.622400, 1.972059
0.030000, 6.800600, 3.229124
0.040000, 11.178800, 5.497602
0.050000, 20.268000, 37.629889
0.060000, 74.181500, 171.739031
0.070000, 346.622600, 307.184726
0.080000, 442.949500, 116.148357
0.090000, 281.773500, 52.760984
0.100000, 189.938500, 31.615106
0.110000, 138.854700, 21.085274
0.120000, 107.122500, 15.683293
0.130000, 86.629100, 11.874878
0.140000, 72.162900, 9.657172
0.150000, 61.572400, 8.142110
0.160000, 53.782300, 6.976196
0.170000, 47.426700, 6.262941
0.180000, 42.315700, 5.513804
0.190000, 38.318600, 5.039176
0.200000, 34.799200, 4.491222
0.210000, 31.944100, 4.120264
0.220000, 29.400400, 3.764210
0.230000, 27.360500, 3.651512
0.240000, 25.458700, 3.368812
0.250000, 23.764600, 3.117561
0.260000, 22.303800, 2.881060
0.270000, 21.009900, 2.771534
0.280000, 19.863200, 2.637022
0.290000, 18.741100, 2.467118
0.300000, 17.844700, 2.400954
0.310000, 16.913600, 2.302463
0.320000, 16.123400, 2.165080
0.330000, 15.393300, 2.077983
0.340000, 14.668300, 1.986473
0.350000, 14.087300, 1.965929
0.360000, 13.464700, 1.816137
0.370000, 12.926400, 1.763514
0.380000, 12.393600, 1.711689
0.390000, 11.910400, 1.661497
0.400000, 11.451500, 1.577038
0.410000, 11.027700, 1.512195
0.420000, 10.664700, 1.512307
0.430000, 10.251200, 1.438784
0.440000, 9.890700, 1.399269
0.450000, 9.562100, 1.349275
0.460000, 9.248100, 1.343632
0.470000, 8.942200, 1.248303
0.480000, 8.640500, 1.214767
0.490000, 8.357700, 1.171986
0.500000, 8.104200, 1.161009
0.510000, 7.840900, 1.124894
0.520000, 7.584800, 1.086282
0.530000, 7.355700, 1.068914
0.540000, 7.146100, 1.048120
0.550000, 6.922600, 1.026650
0.560000, 6.716700, 1.002318
0.570000, 6.518500, 0.968431
0.580000, 6.348700, 0.949583
0.590000, 6.146900, 0.928289
0.600000, 5.967600, 0.895628
0.610000, 5.798200, 0.867454
0.620000, 5.630100, 0.862249
0.630000, 5.460000, 0.831865
0.640000, 5.319500, 0.837747
0.650000, 5.163600, 0.815006
0.660000, 4.999600, 0.779615
0.670000, 4.860800, 0.775773
0.680000, 4.715400, 0.740947
0.690000, 4.570600, 0.719316
0.700000, 4.441400, 0.696969
0.710000, 4.336400, 0.692846
0.720000, 4.197200, 0.676988
0.730000, 4.071000, 0.682612
0.740000, 3.937100, 0.675236
0.750000, 3.815100, 0.673136
0.760000, 3.675200, 0.653073
0.770000, 3.562800, 0.636911
0.780000, 3.458600, 0.601902
0.790000, 3.352100, 0.561004
0.800000, 3.262300, 0.529999
0.810000, 3.176700, 0.504854
0.820000, 3.070900, 0.501870
0.830000, 2.978300, 0.525955
0.840000, 2.856400, 0.536077
0.850000, 2.724300, 0.560437
0.860000, 2.606900, 0.563358
0.870000, 2.488400, 0.548694
0.880000, 2.371300, 0.510134
0.890000, 2.273100, 0.464453
0.900000, 2.198800, 0.409241
0.910000, 2.131400, 0.348043
0.920000, 2.077800, 0.284160
0.930000, 2.028200, 0.260777
0.940000, 1.963100, 0.300231
0.950000, 1.840100, 0.402159
0.960000, 1.653700, 0.484744
0.970000, 1.439800, 0.498975
0.980000, 1.217000, 0.413172
0.990000, 1.057200, 0.232224

Processor time: 3803.490000.
