This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.

0, 0, 0, 405
0.001, 0.008, 0.126238, 405
0.002, 0.029, 0.232721, 405
0.003, 0.165, 0.558368, 405
0.004, 0.314, 0.722083, 405
0.005, 0.591, 0.952743, 405
0.006, 0.943, 1.10804, 405
0.007, 1.299, 1.15741, 405
0.008, 1.711, 1.17536, 405
0.009, 2.052, 1.27016, 405
0.01, 2.361, 1.29564, 405
0.011, 2.64, 1.38145, 405
0.012, 2.965, 1.44837, 405
0.013, 3.351, 1.68279, 405
0.014, 3.664, 1.70268, 405
0.015, 3.996, 1.86064, 405
0.016, 4.267, 1.89307, 405
0.017, 4.597, 1.76765, 405
0.018, 5.061, 2.15715, 405
0.019, 5.329, 2.13466, 405
0.02, 5.834, 2.11387, 405
0.021, 6.176, 2.31841, 405
0.022, 6.606, 2.41635, 405
0.023, 6.899, 2.67223, 405
0.024, 7.425, 2.71411, 405
0.025, 7.68, 2.79206, 405
0.026, 8.138, 2.9043, 405
0.027, 8.8, 3.58302, 405
0.028, 9.036, 3.35242, 405
0.029, 9.587, 3.55984, 405
0.03, 10.341, 3.9614, 405
0.031, 10.719, 3.97945, 405
0.032, 11.48, 4.24872, 405
0.033, 11.87, 4.41238, 405
0.034, 12.593, 5.07221, 405
0.035, 13.408, 5.59621, 405
0.036, 13.866, 5.14879, 405
0.037, 14.804, 5.90979, 405
0.038, 15.185, 5.62892, 405
0.039, 16.233, 6.78931, 405
0.04, 16.868, 6.72165, 405
0.041, 17.736, 6.75872, 405
0.042, 19.006, 8.19561, 405
0.043, 20.331, 10.382, 405
0.044, 23.271, 65.5098, 405
0.045, 22.375, 10.1471, 405
0.046, 24.164, 12.194, 405
0.047, 25.067, 16.6675, 405
0.048, 31.913, 93.1188, 405
0.049, 30.917, 66.7838, 405
0.05, 41.662, 142.234, 405
0.051, 55.628, 201.807, 405
0.052, 63.429, 211.873, 405
0.053, 78.195, 250.276, 405
0.054, 78.387, 253.388, 405
0.055, 123.43, 343.976, 405
0.056, 142.149, 372.999, 405
0.057, 203.811, 460.63, 405
0.058, 256.594, 513.548, 405
0.059, 277.927, 523.489, 405
0.06, 396.341, 612.795, 405
0.061, 482.81, 646.638, 405
0.062, 562.447, 654.006, 405
0.063, 635.251, 654.546, 405
0.064, 742.192, 631.628, 405
0.065, 840.777, 609.523, 405
0.066, 953.572, 519.148, 405
0.067, 953.095, 482.238, 405
0.068, 977.846, 401.12, 405
0.069, 997.149, 336.509, 405
0.07, 972.048, 254.432, 405
0.071, 902.772, 251.804, 405
0.072, 856.748, 205.511, 405
0.073, 802.506, 171.278, 405
0.074, 749.048, 159.041, 405
0.075, 702.357, 143.666, 405
0.076, 655.071, 137.249, 405
0.077, 612.17, 121.863, 405
0.078, 577.669, 114.478, 405
0.079, 539.766, 102.793, 405
0.08, 501.888, 92.8987, 405
0.081, 472.83, 80.7676, 405
0.082, 447.207, 75.3711, 405
0.083, 422.537, 72.4043, 405
0.084, 400.879, 68.865, 405
0.085, 379.093, 61.616, 405
0.086, 360.224, 61.062, 405
0.087, 342.555, 53.3485, 405
0.088, 327.251, 51.1586, 405
0.089, 310.64, 49.257, 405
0.09, 297.846, 45.3487, 405
0.091, 282.787, 40.9894, 405
0.092, 270.777, 38.6439, 405
0.093, 258.371, 37.3256, 405
0.094, 249.86, 35.859, 405
0.095, 239.212, 34.8477, 405
0.096, 230.779, 33.0701, 405
0.097, 221.983, 29.7378, 405
0.098, 213.738, 29.4416, 405
0.099, 206.869, 28.4946, 405
0.1, 198.101, 26.9127, 405
0.101, 190.587, 26.2633, 405
0.102, 185.87, 26.807, 405
0.103, 178.399, 24.012, 405
0.104, 171.093, 22.1993, 405
0.105, 169.135, 21.6934, 405
0.106, 162.846, 20.8556, 405
0.107, 157.65, 19.4867, 405
0.108, 153.348, 19.8115, 405
0.109, 148.442, 18.5332, 405
0.11, 144.749, 17.8319, 405
0.111, 141.059, 18.8233, 405
0.112, 136.366, 17.0319, 405
0.113, 133.786, 17.3639, 405
0.114, 130.458, 16.1102, 405
0.115, 126.85, 15.4157, 405
0.116, 123.912, 16.0424, 405
0.117, 120.494, 14.8116, 405
0.118, 117.34, 14.3128, 405
0.119, 114.667, 13.7105, 405
0.12, 111.695, 13.6651, 405
0.121, 109.633, 13.1047, 405
0.122, 106.898, 13.0364, 405
0.123, 104.513, 11.9189, 405
0.124, 101.705, 11.7923, 405
0.125, 100.285, 11.4717, 405
0.126, 97.725, 11.6023, 405
0.127, 95.889, 10.6653, 405
0.128, 94.389, 11.3322, 405
0.129, 92.386, 11.0354, 405
0.13, 90.428, 10.0238, 405
0.131, 88.297, 9.8785, 405
0.132, 86.792, 10.0158, 405
0.133, 85.53, 10.0741, 405
0.134, 83.748, 9.56747, 405
0.135, 82.549, 9.49777, 405
0.136, 81.307, 8.92461, 405
0.137, 79.908, 8.83072, 405
0.138, 77.986, 8.62136, 405
0.139, 76.729, 8.45125, 405
0.14, 75.53, 8.65027, 405
0.141, 73.635, 8.05294, 405
0.142, 72.5, 7.82215, 405
0.143, 71.877, 8.18632, 405
0.144, 71.064, 8.26946, 405
0.145, 69.537, 7.62448, 405
0.146, 68.534, 7.54896, 405
0.147, 67.392, 7.50935, 405
0.148, 66.018, 7.3034, 405
0.149, 65.397, 7.14503, 405
0, 0, 0, 410
0.001, 0.005, 0.0947365, 410
0.002, 0.045, 0.284561, 410
0.003, 0.138, 0.478493, 410
0.004, 0.351, 0.793599, 410
0.005, 0.548, 0.892018, 410
0.006, 1.03, 1.13627, 410
0.007, 1.307, 1.1953, 410
0.008, 1.636, 1.15044, 410
0.009, 2.049, 1.32688, 410
0.01, 2.302, 1.21359, 410
0.011, 2.686, 1.42878, 410
0.012, 3.01, 1.52312, 410
0.013, 3.25, 1.59546, 410
0.014, 3.653, 1.61573, 410
0.015, 3.892, 1.82547, 410
0.016, 4.353, 1.81615, 410
0.017, 4.8, 2.10095, 410
