Parameters: #simulations = 1000.
p from 0.05 to 0.35 step 0.05.

p, N(p), SD, #percolation, size.

0.05, 0.213, 0.810945, 0, 5
0.1, 1.517, 2.80245, 0, 5
0.15, 4.069, 4.49869, 15, 5
0.2, 6.84, 4.85988, 100, 5
0.25, 8.147, 3.90453, 256, 5
0.3, 8.235, 3.02915, 423, 5
0.35, 7.493, 2.4228, 580, 5
0.05, 0.955, 2.04376, 0, 10
0.1, 8.281, 9.53478, 3, 10
0.15, 23.641, 12.7479, 185, 10
0.2, 23.654, 6.74094, 565, 10
0.25, 17.843, 4.57956, 779, 10
0.3, 13.773, 3.48819, 890, 10
0.35, 10.931, 2.82316, 946, 10
0.05, 2.258, 3.09216, 0, 15
0.1, 22.599, 23.9508, 37, 15
0.15, 44.769, 14.7116, 545, 15
0.2, 29.392, 7.01729, 862, 15
0.25, 20.138, 4.66143, 953, 15
0.3, 15.147, 3.43124, 987, 15
0.35, 11.94, 2.86084, 993, 15
0.05, 3.546, 4.70722, 0, 20
0.1, 46.736, 40.2696, 155, 20
0.15, 53.241, 12.4952, 826, 20
0.2, 30.687, 6.3993, 958, 20
0.25, 21.091, 4.57435, 992, 20
0.3, 15.586, 3.42616, 995, 20
0.35, 12.528, 2.95351, 999, 20
0.05, 4.933, 5.26085, 0, 25
0.1, 74.813, 50.7664, 329, 25
0.15, 55.065, 10.9163, 934, 25
0.2, 31.898, 6.40637, 989, 25
0.25, 21.542, 4.14804, 997, 25
0.3, 16.395, 3.58036, 1000, 25
0.35, 12.573, 2.77104, 1000, 25
0.05, 5.815, 4.78213, 0, 30
0.1, 107.075, 56.008, 573, 30
0.15, 55.941, 10.0861, 972, 30
0.2, 32.504, 6.04963, 996, 30
0.25, 22.132, 4.48849, 999, 30
0.3, 16.634, 3.60694, 1000, 30
0.35, 12.911, 2.82791, 1000, 30
0.05, 6.852, 5.86021, 0, 35
0.1, 129.83, 52.2185, 741, 35
0.15, 57.534, 10.1974, 985, 35
0.2, 32.72, 5.98395, 998, 35
0.25, 22.517, 4.46606, 1000, 35
0.3, 16.593, 3.26425, 1000, 35
0.35, 13.078, 2.69034, 1000, 35
0.05, 8.066, 9.05459, 0, 40
0.1, 145.888, 44.24, 857, 40
0.15, 57.869, 10.0314, 994, 40
0.2, 33.2, 5.80551, 1000, 40
0.25, 22.822, 4.64761, 1000, 40
0.3, 16.825, 3.27359, 1000, 40
0.35, 13.043, 2.52886, 1000, 40
0.05, 8.834, 5.77602, 0, 45
0.1, 156.336, 40.818, 923, 45
0.15, 58.777, 9.45924, 995, 45
0.2, 33.377, 5.65233, 998, 45
0.25, 22.589, 3.91383, 1000, 45
0.3, 17.001, 3.13863, 1000, 45
0.35, 13.36, 2.65149, 1000, 45
0.05, 10.2, 14.7446, 1, 50
0.1, 165.519, 36.8101, 967, 50
0.15, 58.866, 9.09594, 998, 50
0.2, 33.798, 5.6695, 1000, 50
0.25, 22.775, 4.06207, 1000, 50
0.3, 17.152, 3.12648, 1000, 50
0.35, 13.537, 2.58624, 1000, 50

Processor time: 202.638.

Wall time: 202s.
