This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.

0.05, 0.04, 0.28, 5
0.06, 0.08, 0.365513, 5
0.07, 0.02, 0.198997, 5
0.08, 0.21, 0.803679, 5
0.09, 0.21, 0.803679, 5
0.1, 0.42, 1.26633, 5
0.11, 0.28, 0.872697, 5
0.12, 0.58, 1.25841, 5
0.13, 0.75, 1.64545, 5
0.14, 0.86, 1.65542, 5
0.15, 1.12, 2.02129, 5
0.16, 1.47, 2.08065, 5
0.17, 1.38, 2.27059, 5
0.18, 1.32, 2.11603, 5
0.19, 1.87, 2.42345, 5
0.2, 2.24, 2.31569, 5
0.21, 1.84, 2.46868, 5
0.22, 2.11, 2.30606, 5
0.23, 2.8, 2.8, 5
0.24, 2.31, 2.44416, 5
0.25, 2.46, 2.128, 5
0.26, 2.99, 2.38954, 5
0.27, 3.01, 2.57874, 5
0.28, 3.14, 2.41255, 5
0.29, 3.56, 2.32086, 5
0.3, 3.12, 2.40948, 5
0.31, 3.81, 2.20316, 5
0.32, 3.67, 2.18657, 5
0.33, 3.85, 2.00187, 5
0.34, 3.6, 2.17256, 5

Processor time: 0.006.

p, N(p), SD, size.

0.05, 0.54, 1.90484, 10
0.06, 0.41, 1.19243, 10
0.07, 0.71, 1.68698, 10
0.08, 1.08, 2.07692, 10
0.09, 2.12, 3.18522, 10
0.1, 3, 4.69255, 10
0.11, 3.47, 4.96881, 10
0.12, 4.13, 4.96519, 10
0.13, 4.07, 5.75196, 10
0.14, 5.42, 4.98634, 10
0.15, 6.82, 6.29505, 10
0.16, 8.66, 6.49803, 10
0.17, 8.33, 6.90949, 10
0.18, 9.7, 6.18628, 10
0.19, 10.42, 6.43612, 10
0.2, 10.68, 5.40903, 10
0.21, 11.48, 5.49633, 10
0.22, 11.79, 4.27152, 10
0.23, 11.97, 4.444, 10
0.24, 12.21, 4.75877, 10
0.25, 11.73, 4.14935, 10
0.26, 11.79, 4.36645, 10
0.27, 11.03, 4.14115, 10
0.28, 10.6, 3.42053, 10
0.29, 10.44, 3.0375, 10
0.3, 10.45, 3.42746, 10
0.31, 9.92, 3.27622, 10
0.32, 9.26, 2.84823, 10
0.33, 8.41, 2.54203, 10
0.34, 8.55, 2.69583, 10

Processor time: 0.029.

p, N(p), SD, size.

0.05, 0.67, 1.85502, 15
0.06, 1.24, 2.10295, 15
0.07, 2.15, 2.8892, 15
0.08, 3.4, 5.1225, 15
0.09, 4.8, 6.03821, 15
0.1, 6.16, 7.10313, 15
0.11, 7.53, 8.26493, 15
0.12, 11.66, 9.31474, 15
0.13, 13.98, 11.273, 15
0.14, 14.05, 10.9237, 15
0.15, 17.58, 10.9911, 15
0.16, 20.14, 10.3904, 15
0.17, 20.7, 9.22984, 15
0.18, 21.21, 8.26595, 15
0.19, 20.4, 7.57496, 15
0.2, 20.63, 7.27551, 15
0.21, 20.21, 6.91418, 15
0.22, 20.53, 6.91152, 15
0.23, 18.89, 6.28474, 15
0.24, 16.83, 4.66488, 15
0.25, 16.08, 5.06296, 15
0.26, 15.08, 4.23953, 15
0.27, 14.52, 3.97864, 15
0.28, 13.99, 4.29766, 15
0.29, 12.37, 3.40193, 15
0.3, 12.64, 3.41034, 15
0.31, 11.69, 2.86948, 15
0.32, 11.8, 3.39706, 15
0.33, 11.17, 2.94297, 15
0.34, 10.38, 2.72316, 15

Processor time: 0.076.

p, N(p), SD, size.

0.05, 0.97, 2.12346, 20
0.06, 2.17, 3.4498, 20
0.07, 4.17, 5.91279, 20
0.08, 4.61, 5.08703, 20
0.09, 8.05, 11.4825, 20
0.1, 11.55, 11.3889, 20
0.11, 16.57, 17.7962, 20
0.12, 22.63, 17.9269, 20
0.13, 23.93, 16.3035, 20
0.14, 30.08, 16.0939, 20
0.15, 32.4, 13.8578, 20
0.16, 32.89, 11.6918, 20
0.17, 29.81, 8.92378, 20
0.18, 30.16, 8.08668, 20
0.19, 28.34, 9.25551, 20
0.2, 25.22, 6.7935, 20
0.21, 23.13, 6.4663, 20
0.22, 22.18, 6.12434, 20
0.23, 20.82, 5.81959, 20
0.24, 19.81, 5.20326, 20
0.25, 18.46, 5.3412, 20
0.26, 16.8, 4.20476, 20
0.27, 15.94, 4.41321, 20
0.28, 15.19, 3.50056, 20
0.29, 13.8, 3.59166, 20
0.3, 13.32, 3.56337, 20
0.31, 12.46, 2.91349, 20
0.32, 12.57, 2.93003, 20
0.33, 11.65, 3.57876, 20
0.34, 10.87, 2.42757, 20

Processor time: 0.161.

p, N(p), SD, size.

0.05, 2.17, 3.23745, 25
0.06, 4.94, 8.76792, 25
0.07, 5.7, 6.01581, 25
0.08, 8.13, 7.3616, 25
0.09, 15.05, 21.1004, 25
0.1, 18.75, 20.4829, 25
0.11, 28.73, 24.9719, 25
0.12, 37.12, 23.9045, 25
0.13, 42.3, 21.723, 25
0.14, 42.24, 15.2264, 25
0.15, 44.3, 14.5365, 25
0.16, 40.67, 12.7138, 25
0.17, 37.2, 13.4417, 25
0.18, 34.52, 9.97344, 25
0.19, 30.56, 8.79923, 25
0.2, 28.31, 5.9375, 25
0.21, 25.13, 6.06408, 25
0.22, 24.02, 6.11716, 25
0.23, 21.5, 4.32551, 25
0.24, 19.95, 4.39175, 25
0.25, 19.11, 4.62362, 25
0.26, 17.74, 4.82622, 25
0.27, 16.23, 3.99463, 25
0.28, 15.73, 3.33423, 25
0.29, 14.37, 3.28224, 25
0.3, 13.87, 3.22383, 25
0.31, 12.87, 2.97205, 25
0.32, 12.34, 2.63143, 25
0.33, 11.88, 2.68805, 25
0.34, 11.42, 2.52658, 25

Processor time: 0.282.

p, N(p), SD, size.

